Model,TBS2102
Firmware Version,v1.23

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.0002
Sample Interval,1.6e-06
Filter Frequency,1e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Label,
TIME,CH1
-2.352e-03,-1.6
-2.350e-03,-1.6
-2.349e-03,-1.6
-2.347e-03,-1.65
-2.346e-03,-1.65
-2.344e-03,-1.7
-2.342e-03,-1.65
-2.341e-03,-1.65
-2.339e-03,-1.65
-2.338e-03,-1.7
-2.336e-03,-1.75
-2.334e-03,-1.7
-2.333e-03,-1.7
-2.331e-03,-1.7
-2.330e-03,-1.75
-2.328e-03,-1.75
-2.326e-03,-1.75
-2.325e-03,-1.8
-2.323e-03,-1.75
-2.322e-03,-1.8
-2.320e-03,-1.8
-2.318e-03,-1.8
-2.317e-03,-1.85
-2.315e-03,-1.85
-2.314e-03,-1.85
-2.312e-03,-1.85
-2.310e-03,-1.8
-2.309e-03,-1.85
-2.307e-03,-1.85
-2.306e-03,-1.85
-2.304e-03,-1.85
-2.302e-03,-1.9
-2.301e-03,-1.9
-2.299e-03,-1.9
-2.298e-03,-1.9
-2.296e-03,-1.9
-2.294e-03,-1.95
-2.293e-03,-1.9
-2.291e-03,-1.9
-2.290e-03,-1.9
-2.288e-03,-1.9
-2.286e-03,-1.95
-2.285e-03,-1.95
-2.283e-03,-2
-2.282e-03,-1.95
-2.280e-03,-1.95
-2.278e-03,-1.95
-2.277e-03,-1.95
-2.275e-03,-1.95
-2.274e-03,-1.95
-2.272e-03,-1.95
-2.270e-03,-1.95
-2.269e-03,-2
-2.267e-03,-2
-2.266e-03,-1.95
-2.264e-03,-2
-2.262e-03,-2
-2.261e-03,-1.95
-2.259e-03,-1.95
-2.258e-03,-1.95
-2.256e-03,-2
-2.254e-03,-2
-2.253e-03,-1.95
-2.251e-03,-1.95
-2.250e-03,-2.05
-2.248e-03,-2
-2.246e-03,-2
-2.245e-03,-2
-2.243e-03,-2
-2.242e-03,-2
-2.240e-03,-2
-2.238e-03,-1.95
-2.237e-03,-1.95
-2.235e-03,-2
-2.234e-03,-2
-2.232e-03,-1.95
-2.230e-03,-1.95
-2.229e-03,-1.95
-2.227e-03,-1.95
-2.226e-03,-2
-2.224e-03,-1.95
-2.222e-03,-1.95
-2.221e-03,-1.95
-2.219e-03,-1.95
-2.218e-03,-1.95
-2.216e-03,-1.9
-2.214e-03,-1.9
-2.213e-03,-1.9
-2.211e-03,-1.95
-2.210e-03,-1.95
-2.208e-03,-1.95
-2.206e-03,-1.95
-2.205e-03,-1.9
-2.203e-03,-1.9
-2.202e-03,-1.9
-2.200e-03,-1.9
-2.198e-03,-1.9
-2.197e-03,-1.85
-2.195e-03,-1.85
-2.194e-03,-1.9
-2.192e-03,-1.85
-2.190e-03,-1.85
-2.189e-03,-1.85
-2.187e-03,-1.85
-2.186e-03,-1.8
-2.184e-03,-1.8
-2.182e-03,-1.8
-2.181e-03,-1.8
-2.179e-03,-1.8
-2.178e-03,-1.75
-2.176e-03,-1.75
-2.174e-03,-1.75
-2.173e-03,-1.75
-2.171e-03,-1.75
-2.170e-03,-1.75
-2.168e-03,-1.7
-2.166e-03,-1.75
-2.165e-03,-1.7
-2.163e-03,-1.7
-2.162e-03,-1.65
-2.160e-03,-1.65
-2.158e-03,-1.7
-2.157e-03,-1.65
-2.155e-03,-1.65
-2.154e-03,-1.6
-2.152e-03,-1.65
-2.150e-03,-1.55
-2.149e-03,-1.55
-2.147e-03,-1.6
-2.146e-03,-1.55
-2.144e-03,-1.55
-2.142e-03,-1.55
-2.141e-03,-1.55
-2.139e-03,-1.55
-2.138e-03,-1.5
-2.136e-03,-1.5
-2.134e-03,-1.5
-2.133e-03,-1.5
-2.131e-03,-1.45
-2.130e-03,-1.45
-2.128e-03,-1.4
-2.126e-03,-1.4
-2.125e-03,-1.4
-2.123e-03,-1.35
-2.122e-03,-1.35
-2.120e-03,-1.35
-2.118e-03,-1.35
-2.117e-03,-1.35
-2.115e-03,-1.35
-2.114e-03,-1.3
-2.112e-03,-1.25
-2.110e-03,-1.25
-2.109e-03,-1.25
-2.107e-03,-1.2
-2.106e-03,-1.2
-2.104e-03,-1.2
-2.102e-03,-1.15
-2.101e-03,-1.2
-2.099e-03,-1.15
-2.098e-03,-1.1
-2.096e-03,-1.1
-2.094e-03,-1.1
-2.093e-03,-1.05
-2.091e-03,-1.05
-2.090e-03,-1
-2.088e-03,-1
-2.086e-03,-1
-2.085e-03,-1
-2.083e-03,-1
-2.082e-03,-1
-2.080e-03,-0.95
-2.078e-03,-0.9
-2.077e-03,-0.9
-2.075e-03,-0.85
-2.074e-03,-0.85
-2.072e-03,-0.85
-2.070e-03,-0.85
-2.069e-03,-0.8
-2.067e-03,-0.75
-2.066e-03,-0.75
-2.064e-03,-0.75
-2.062e-03,-0.75
-2.061e-03,-0.7
-2.059e-03,-0.7
-2.058e-03,-0.65
-2.056e-03,-0.65
-2.054e-03,-0.65
-2.053e-03,-0.6
-2.051e-03,-0.6
-2.050e-03,-0.6
